# Logfile created on 2026-03-18 04:10:25 +0100 by logger.rb/v1.4.3
2026-03-18 04:10:25 +0100: Memory Usage (434332K) : deepco_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434460K) : mim_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434460K) : edgeseal_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434460K) : edgeseal_bound has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434588K) : substrate_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434588K) : substrate_text has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434588K) : dfpad_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434716K) : dfpad_pillar has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434716K) : dfpad_sbump has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434844K) : thickgateox_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434844K) : pldb_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434844K) : pwell_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434844K) : pwell_pin has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434972K) : pwell_block has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (434972K) : ic_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435100K) : via3_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435100K) : metal4_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435100K) : metal4_pin has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435228K) : metal4_mask has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435228K) : metal4_filler has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435228K) : metal4_nofill has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435356K) : metal4_slit has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435356K) : metal4_text has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435356K) : metal4_opc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435484K) : metal4_noqrc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435484K) : metal4_res has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435612K) : metal4_iprobe has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435612K) : metal4_diffprb has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435740K) : heattrans_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435740K) : heatres_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435740K) : pempoly_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435868K) : fbe_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435868K) : empoly_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435996K) : ldmos_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (435996K) : pbiwind_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436124K) : digisub_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436124K) : nodrc_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436124K) : text_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436252K) : via4_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436252K) : metal5_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436380K) : metal5_pin has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436380K) : metal5_mask has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436380K) : metal5_filler has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436508K) : metal5_nofill has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436508K) : metal5_slit has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436508K) : metal5_text has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436508K) : metal5_opc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436636K) : metal5_noqrc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436636K) : metal5_res has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436764K) : metal5_iprobe has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436764K) : metal5_diffprb has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436764K) : radhard_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436892K) : memcap_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (436892K) : varicap_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (437020K) : flash_drw has 0 polygons
