# Logfile created on 2026-03-11 03:00:58 +0100 by logger.rb/v1.4.3
2026-03-11 03:00:58 +0100: Memory Usage (437848K) : metal5_filler has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437976K) : metal5_nofill has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437976K) : metal5_slit has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437976K) : metal5_text has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438104K) : metal5_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438104K) : metal5_noqrc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438104K) : metal5_res has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438232K) : metal5_iprobe has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438232K) : metal5_diffprb has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438232K) : radhard_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438360K) : memcap_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438360K) : varicap_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438488K) : flash_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438488K) : intbondvia_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438616K) : intbondmet_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438616K) : devbondvia_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438616K) : devbondmet_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438744K) : devtrench_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438744K) : redist_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438872K) : graphbot_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (438872K) : graphtop_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439000K) : antvia1_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439000K) : antmetal2_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439000K) : graphcont_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439128K) : siwg_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439128K) : siwg_filler has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439128K) : siwg_nofill has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439128K) : sigrating_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439256K) : singrating_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439256K) : graphpas_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439384K) : emwind3_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439384K) : emwihv3_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439384K) : redbulay_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439512K) : smos_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439512K) : graphpad_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439640K) : polimide_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439640K) : polimide_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439640K) : recog_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439768K) : recog_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439768K) : recog_esd has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439896K) : recog_diode has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (439896K) : recog_tsv has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (440024K) : recog_iprobe has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (440024K) : recog_diffprb has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (440024K) : recog_pillar has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (440152K) : recog_sbump has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440152K) : recog_otp has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440280K) : recog_pdiode has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440280K) : recog_mom has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440280K) : recog_pcm has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440280K) : colopen_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440408K) : graphmetal1_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440408K) : graphmetal1_filler has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440536K) : graphmetal1_nofill has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440536K) : graphmetal1_slit has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440536K) : graphmetal1_opc has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440664K) : graphmet1l_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440664K) : graphmet1l_filler has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440792K) : graphmet1l_nofill has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440792K) : graphmet1l_slit has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440920K) : graphmet1l_opc has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440920K) : extblock_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (440920K) : nldd_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441048K) : pldd_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441048K) : next_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441176K) : pext_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441176K) : nexthv_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441176K) : pexthv_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441304K) : graphgate_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441304K) : sinwg_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441432K) : sinwg_filler has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441432K) : sinwg_nofill has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441560K) : mempad_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441560K) : topvia1_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441560K) : topmetal1_drw has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441688K) : topmetal1_pin has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441688K) : topmetal1_mask has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441816K) : topmetal1_filler has 0 polygons
2026-03-11 03:00:59 +0100: Memory Usage (441816K) : topmetal1_nofill has 0 polygons
